Row ID,Order ID,Order Date,Year,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Product Name,Total Discount,Average Sales
717,CA-2011-130092,40555,40555,40558,First Class,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,9.94,2,0,3.0814,"DAX Value U-Channel Document Frames, Easel Back",,
4938,CA-2011-157147,40557,40557,40562,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,1325.85,5,0,238.653,Tennsco 6- and 18-Compartment Lockers,,
766,CA-2011-162775,40557,40557,40559,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,646.74,6,0,258.696,Plantronics S12 Corded Telephone Headset System,,
768,CA-2011-162775,40557,40557,40559,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,572.58,6,0,34.3548,Fellowes Stor/Drawer Steel Plus Storage Drawers,,
2979,CA-2011-109232,40557,40557,40560,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,545.94,6,0,87.3504,Global Highback Leather Tilter in Burgundy,,
4939,CA-2011-157147,40557,40557,40562,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,333.999,3,0.15,3.9294,"O'Sullivan Elevations Bookcase, Cherry Finish",,
765,CA-2011-162775,40557,40557,40559,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Envelopes,50.94,3,0,25.47,Brown Kraft Recycled Envelopes,,
9629,CA-2011-118192,40557,40557,40562,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Paper,37.408,7,0.2,13.0928,Xerox 1923,,
4940,CA-2011-157147,40557,40557,40562,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,Art,19.9,5,0,6.567,4009 Highlighters by Sanford,,
764,CA-2011-162775,40557,40557,40559,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,11.36,2,0,5.3392,Staples,,
767,CA-2011-162775,40557,40557,40559,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,Binders,5.64,3,0,2.7072,Staples,,
9630,CA-2011-118192,40557,40557,40562,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Binders,3.438,2,0.7,-2.5212,Avery Metallic Poly Binders,,
6475,CA-2011-149524,40558,40558,40559,First Class,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,61.96,4,0.5,-53.2856,Sauder Cornerstone Collection Library,,
1914,CA-2011-103366,40559,40559,40561,First Class,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,149.95,5,0,65.978,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,,
971,CA-2011-115791,40560,40560,40562,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,127.104,6,0.2,28.5984,DAX Black Cherry Wood-Tone Poster Frame,,
972,CA-2011-115791,40560,40560,40562,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,124.2,3,0.4,-31.05,AT&T 841000 Phone,,
974,CA-2011-115791,40560,40560,40562,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Labels,30.072,3,0.2,10.1493,Round Specialty Laser Printer Labels,,
973,CA-2011-115791,40560,40560,40562,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,Binders,18.588,2,0.7,-13.6312,GBC Linen Binding Covers,,
5365,CA-2011-123477,40562,40562,40565,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Appliances,64.864,4,0.2,6.4864,Fellowes Mighty 8 Compact Surge Protector,,
5466,CA-2011-146591,40563,40563,40564,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,181.47,5,0.7,-320.597,O'Sullivan 4-Shelf Bookcase in Odessa Pine,,
5465,CA-2011-146591,40563,40563,40564,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002504,Office Supplies,Envelopes,108.72,5,0.2,36.693,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",,
5464,CA-2011-146591,40563,40563,40564,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Office Supplies,Paper,56.064,4,0.2,19.6224,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",,
5463,CA-2011-146591,40563,40563,40564,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Office Supplies,Binders,32.34,10,0.7,-23.716,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",,
1127,US-2011-147627,40564,40564,40570,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,1067.94,3,0,224.2674,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,,
1122,US-2011-147627,40564,40564,40570,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,699.93,7,0,181.9818,Apple iPhone 5C,,
6328,CA-2011-167927,40564,40564,40570,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,272.94,3,0,30.0234,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,,
6330,CA-2011-167927,40564,40564,40570,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,Appliances,247.716,4,0.1,93.5816,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,
7121,US-2011-147774,40564,40564,40570,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,Binders,67.194,1,0.7,-51.5154,GBC DocuBind TL200 Manual Binding Machine,,
6331,CA-2011-167927,40564,40564,40570,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Storage,66.58,2,0,15.9792,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,,
6332,CA-2011-167927,40564,40564,40570,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,43.92,3,0,12.7368,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,,
1124,US-2011-147627,40564,40564,40570,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,38.6,4,0,11.58,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",,
6334,CA-2011-167927,40564,40564,40570,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Binders,29.7,5,0,13.365,Storex Dura Pro Binders,,
1126,US-2011-147627,40564,40564,40570,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,Office Supplies,Envelopes,23.34,3,0,10.9698,Staples,,
1123,US-2011-147627,40564,40564,40570,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Office Supplies,Art,22.96,7,0,6.6584,Newell 351,,
5737,CA-2011-148614,40564,40564,40569,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,19.36,2,0,9.2928,"Wirebound Service Call Books, 5 1/2"" x 4""",,
5738,CA-2011-148614,40564,40564,40569,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,19.3,2,0,5.79,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",,
6329,CA-2011-167927,40564,40564,40570,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10000605,Office Supplies,Binders,19.05,5,0,8.9535,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",,
6333,CA-2011-167927,40564,40564,40570,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,14.73,3,0,4.8609,Ultra Door Push Plate,,
6327,CA-2011-167927,40564,40564,40570,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Storage,13.98,1,0,4.0542,Eldon Fold 'N Roll Cart System,,
1125,US-2011-147627,40564,40564,40570,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,Office Supplies,Art,6.63,3,0,1.7901,Newell 327,,
9990,CA-2011-110422,40565,40565,40567,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,25.248,3,0.2,4.1028,Ultra Door Pull Handle,,
9156,CA-2011-102645,40567,40567,40572,Standard Class,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,89115,West,OFF-PA-10001804,Office Supplies,Paper,40.08,6,0,19.2384,Xerox 195,,
9887,CA-2011-146997,40567,40567,40571,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,47905,Central,OFF-FA-10003467,Office Supplies,Fasteners,5.94,3,0,0,"Alliance Big Bands Rubber Bands, 12/Pack",,
2580,US-2011-155502,40570,40570,40575,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-ST-10004337,Office Supplies,Storage,489.92,8,0,0,"SAFCO Commercial Wire Shelving, 72h",,
2585,US-2011-155502,40570,40570,40575,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10002103,Technology,Phones,187.98,2,0,52.6344,Jabra SPEAK 410,,
2583,US-2011-155502,40570,40570,40575,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10004833,Technology,Phones,155.35,13,0,0,Macally Suction Cup Mount,,
8151,CA-2011-167997,40570,40570,40573,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Furniture,Bookcases,141.96,2,0,39.7488,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",,
2579,US-2011-155502,40570,40570,40575,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,62.82,3,0,30.7818,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",,
2581,US-2011-155502,40570,40570,40575,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10003072,Office Supplies,Paper,19.44,3,0,9.3312,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",,
2582,US-2011-155502,40570,40570,40575,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10000380,Office Supplies,Paper,16.68,2,0,8.34,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",,
2584,US-2011-155502,40570,40570,40575,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,12.42,3,0,4.4712,Eldon Image Series Black Desk Accessories,,
8150,CA-2011-167997,40570,40570,40573,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,10.68,2,0,5.0196,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,,
3796,US-2011-117163,40571,40571,40577,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,FUR-TA-10003469,Furniture,Tables,333,3,0.2,-16.65,Balt Split Level Computer Training Table,,
3795,US-2011-117163,40571,40571,40577,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-ST-10003692,Office Supplies,Storage,57.23,1,0,14.3075,Recycled Steel Personal File for Hanging File Folders,,
3797,US-2011-117163,40571,40571,40577,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-AR-10003179,Office Supplies,Art,36.44,4,0,12.0252,Dixon Ticonderoga Core-Lock Colored Pencils,,
3084,CA-2011-100328,40572,40572,40578,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,OFF-BI-10000343,Office Supplies,Binders,3.928,1,0.2,1.3257,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",,
6389,CA-2011-134103,40574,40574,40579,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-ST-10000991,Office Supplies,Storage,229.94,2,0,6.8982,Space Solutions HD Industrial Steel Shelving.,,
6388,CA-2011-134103,40574,40574,40579,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10001204,Office Supplies,Paper,10.56,2,0,4.752,Xerox 1972,,
3366,CA-2011-115161,40575,40575,40577,First Class,LC-17050,Liz Carlisle,Consumer,United States,Mission Viejo,California,92691,West,FUR-BO-10003966,Furniture,Bookcases,290.666,2,0.15,3.4196,"Sauder Facets Collection Library, Sky Alder Finish",,
541,CA-2011-140795,40576,40576,40578,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,468.9,6,0,206.316,Enermax Aurora Lite Keyboard,,
9139,CA-2011-123400,40577,40577,40584,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,TEC-PH-10002890,Technology,Phones,180.96,5,0.2,13.572,AT&T 17929 Lendline Telephone,,
9138,CA-2011-123400,40577,40577,40584,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,OFF-BI-10000666,Office Supplies,Binders,18.336,2,0.7,-12.224,Surelock Post Binders,,
1704,CA-2011-139857,40577,40577,40581,Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,San Diego,California,92037,West,OFF-FA-10001843,Office Supplies,Fasteners,12.35,5,0,5.8045,Staples,,
1518,CA-2011-111059,40578,40578,40581,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004593,Office Supplies,Binders,83.84,2,0.2,27.248,Ibico Laser Imprintable Binding System Covers,,
1519,CA-2011-111059,40578,40578,40581,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10002827,Office Supplies,Binders,13.272,3,0.2,4.3134,Avery Durable Poly Binders,,
1544,CA-2011-107181,40579,40579,40583,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-BI-10004230,Office Supplies,Binders,82.896,3,0.2,29.0136,GBC Recycled Grain Textured Covers,,
1545,CA-2011-107181,40579,40579,40583,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-PA-10000350,Office Supplies,Paper,34.24,4,0,16.0928,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",,
8585,CA-2011-104808,40579,40579,40583,Second Class,MH-17440,Mark Haberlin,Corporate,United States,Escondido,California,92025,West,OFF-BI-10003676,Office Supplies,Binders,17.248,2,0.2,6.0368,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",,
1999,CA-2011-131905,40581,40581,40584,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10003645,Technology,Phones,161.61,1,0,42.0186,Aastra 57i VoIP phone,,
2000,CA-2011-131905,40581,40581,40584,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10001615,Technology,Phones,144.95,5,0,42.0355,AT&T CL82213,,
1998,CA-2011-131905,40581,40581,40584,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,OFF-LA-10002787,Office Supplies,Labels,15,4,0,7.2,Avery 480,,
8981,CA-2011-108182,40581,40581,40585,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Romeoville,Illinois,60441,Central,OFF-BI-10001196,Office Supplies,Binders,8.952,2,0.8,-14.7708,"Avery Flip-Chart Easel Binder, Black",,
850,CA-2011-107755,40582,40582,40587,Standard Class,CK-12760,Cyma Kinney,Corporate,United States,Linden,New Jersey,7036,East,TEC-AC-10000710,Technology,Accessories,115.36,7,0,49.6048,Maxell DVD-RAM Discs,,
8736,US-2011-169390,40582,40582,40585,Second Class,CS-12250,Chris Selesnick,Corporate,United States,New York City,New York,10024,East,OFF-ST-10001558,Office Supplies,Storage,64.96,4,0,9.744,Acco Perma 4000 Stacking Storage Drawers,,
9267,CA-2011-125759,40583,40583,40584,First Class,NM-18445,Nathan Mautz,Home Office,United States,North Las Vegas,Nevada,89031,West,FUR-FU-10002111,Furniture,Furnishings,14.56,2,0,5.5328,"Master Caster Door Stop, Large Brown",,
5632,CA-2011-127614,40586,40586,40590,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,23320,South,FUR-TA-10003715,Furniture,Tables,1256.22,6,0,75.3732,Hon 2111 Invitation Series Corner Table,,
9258,CA-2011-168368,40586,40586,40590,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,FUR-FU-10002298,Furniture,Furnishings,332.94,3,0,53.2704,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",,
5631,CA-2011-127614,40586,40586,40590,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,23320,South,TEC-AC-10001432,Technology,Accessories,234.45,3,0,103.158,Enermax Aurora Lite Keyboard,,
9260,CA-2011-168368,40586,40586,40590,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-ST-10002583,Office Supplies,Storage,64.96,2,0,2.5984,Fellowes Neat Ideas Storage Cubes,,
9255,CA-2011-168368,40586,40586,40590,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,FUR-CH-10001146,Furniture,Chairs,60.89,1,0,15.2225,"Global Value Mid-Back Manager's Chair, Gray",,
9259,CA-2011-168368,40586,40586,40590,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-BI-10004654,Office Supplies,Binders,51.9,3,0,24.393,VariCap6 Expandable Binder,,
5633,CA-2011-127614,40586,40586,40590,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,23320,South,OFF-BI-10003291,Office Supplies,Binders,17.46,2,0,8.2062,Wilson Jones Leather-Like Binders with DublLock Round Rings,,
9256,CA-2011-168368,40586,40586,40590,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-LA-10004853,Office Supplies,Labels,14.94,3,0,6.8724,Avery 483,,
9257,CA-2011-168368,40586,40586,40590,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-BI-10004728,Office Supplies,Binders,9.64,2,0,4.4344,Wilson Jones Turn Tabs Binder Tool for Ring Binders,,
457,US-2011-110674,40587,40587,40593,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Concord,California,94521,West,FUR-CH-10000225,Furniture,Chairs,129.568,2,0.2,-24.294,"Global Geo Office Task Chair, Gray",,
9762,CA-2011-121762,40589,40589,40593,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Seattle,Washington,98103,West,TEC-AC-10000736,Technology,Accessories,239.97,3,0,86.3892,Logitech G600 MMO Gaming Mouse,,
9764,CA-2011-121762,40589,40589,40593,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Seattle,Washington,98103,West,OFF-SU-10000157,Office Supplies,Supplies,238.62,2,0,4.7724,Compact Automatic Electric Letter Opener,,
9763,CA-2011-121762,40589,40589,40593,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Seattle,Washington,98103,West,OFF-AP-10001293,Office Supplies,Appliances,81.96,2,0,22.9488,Belkin 8 Outlet Surge Protector,,
5467,CA-2011-107706,40589,40589,40594,Second Class,ST-20530,Shui Tom,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000466,Office Supplies,Paper,16.176,3,0.2,6.066,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",,
7438,CA-2011-165568,40590,40590,40594,Standard Class,BF-11020,Barry Französisch,Corporate,United States,Seattle,Washington,98105,West,OFF-BI-10001031,Office Supplies,Binders,21.36,5,0.2,7.209,Pressboard Data Binders by Wilson Jones,,
1334,CA-2011-122567,40591,40591,40596,Standard Class,MN-17935,Michael Nguyen,Consumer,United States,Dallas,Texas,75220,Central,OFF-AP-10001303,Office Supplies,Appliances,7.96,2,0.8,-13.93,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",,
